"tick","Infected Count","Healthy Count","Dead Count"
1.0,2,1000,0
2.0,3,999,0
3.0,4,998,0
4.0,6,996,0
5.0,7,995,0
6.0,9,993,0
7.0,11,991,0
8.0,13,989,0
9.0,17,985,0
10.0,19,983,0
11.0,20,982,0
12.0,25,977,0
13.0,32,970,0
14.0,39,963,0
15.0,44,957,1
16.0,47,953,1
17.0,54,946,1
18.0,61,938,2
19.0,64,932,4
20.0,68,927,5
21.0,70,923,7
22.0,79,913,8
23.0,80,910,10
24.0,77,909,13
25.0,80,903,16
26.0,83,899,17
27.0,83,895,21
28.0,77,893,28
29.0,77,890,31
30.0,79,880,38
31.0,82,873,42
32.0,83,867,46
33.0,83,858,53
34.0,82,852,58
35.0,86,842,64
36.0,89,834,68
37.0,87,830,74
38.0,88,823,79
39.0,100,809,80
40.0,105,799,85
41.0,106,794,89
42.0,110,786,92
43.0,116,777,94
44.0,128,762,97
45.0,125,755,107
46.0,136,739,112
47.0,143,725,119
48.0,141,719,126
49.0,148,707,130
50.0,146,699,139
51.0,149,687,148
52.0,151,679,154
53.0,152,673,159
54.0,154,658,171
55.0,149,651,181
56.0,154,640,186
57.0,156,631,193
58.0,159,620,200
59.0,157,606,214
60.0,162,596,219
61.0,153,588,235
62.0,156,574,246
63.0,154,568,253
64.0,156,555,262
65.0,157,546,269
66.0,158,532,281
67.0,159,521,289
68.0,164,511,294
69.0,160,501,306
70.0,169,483,314
71.0,165,478,323
72.0,158,475,332
73.0,151,471,343
74.0,156,455,353
75.0,160,437,364
76.0,161,428,372
77.0,151,424,385
78.0,155,414,391
79.0,149,408,403
80.0,149,399,411
81.0,152,383,424
82.0,155,370,434
83.0,158,356,444
84.0,165,340,452
85.0,157,329,470
86.0,163,317,475
87.0,164,312,478
88.0,172,300,482
89.0,165,293,495
90.0,153,288,509
91.0,150,282,517
92.0,155,272,521
93.0,148,269,530
94.0,150,259,536
95.0,145,254,546
96.0,140,247,558
97.0,133,240,572
98.0,123,236,584
99.0,111,234,598
100.0,103,227,609
101.0,98,222,618
102.0,96,217,624
103.0,87,213,636
104.0,84,209,643
105.0,81,208,647
106.0,78,205,653
107.0,74,201,661
108.0,71,199,665
109.0,71,190,674
110.0,71,186,677
111.0,69,180,683
112.0,63,178,691
113.0,63,173,695
114.0,66,169,696
115.0,66,163,702
116.0,68,158,704
117.0,63,155,710
118.0,62,151,715
119.0,62,147,719
120.0,63,145,720
121.0,61,144,723
122.0,62,141,725
123.0,59,140,728
124.0,55,137,735
125.0,52,136,739
126.0,47,134,746
127.0,45,133,748
128.0,43,130,753
129.0,41,130,755
130.0,36,129,761
131.0,32,127,765
132.0,31,125,768
133.0,27,125,772
134.0,25,125,773
135.0,21,125,776
136.0,20,124,777
137.0,18,124,779
138.0,16,124,781
139.0,14,124,783
140.0,12,124,785
141.0,10,124,787
142.0,9,124,788
143.0,7,124,790
144.0,6,124,790
145.0,6,124,790
146.0,4,124,792
147.0,3,123,794
148.0,2,123,795
149.0,2,123,795
150.0,2,123,795
151.0,2,123,795
152.0,1,123,796
153.0,1,123,796
154.0,1,123,796
155.0,1,123,796
156.0,1,123,796
157.0,1,123,796
158.0,1,123,796
159.0,1,123,796
160.0,1,123,796
161.0,1,123,796
162.0,0,123,797
163.0,0,123,797
164.0,0,123,797
165.0,0,123,797
166.0,0,123,797
167.0,0,123,797
168.0,0,123,797
169.0,0,123,797
170.0,0,123,797
171.0,0,123,797
172.0,0,123,797
173.0,0,123,797
174.0,0,123,797
175.0,0,123,797
176.0,0,123,797
177.0,0,123,797
178.0,0,123,797
179.0,0,123,797
180.0,0,123,797
181.0,0,123,797
182.0,0,123,797
183.0,0,123,797
184.0,0,123,797
185.0,0,123,797
186.0,0,123,797
187.0,0,123,797
188.0,0,123,797
189.0,0,123,797
190.0,0,123,797
191.0,0,123,797
192.0,0,123,797
193.0,0,123,797
194.0,0,123,797
195.0,0,123,797
196.0,0,123,797
197.0,0,123,797
198.0,0,123,797
199.0,0,123,797
200.0,0,123,797
201.0,0,123,797
202.0,0,123,797
203.0,0,123,797
204.0,0,123,797
205.0,0,123,797
206.0,0,123,797
207.0,0,123,797
208.0,0,123,797
209.0,0,123,797
210.0,0,123,797
211.0,0,123,797
212.0,0,123,797
213.0,0,123,797
214.0,0,123,797
215.0,0,123,797
216.0,0,123,797
217.0,0,123,797
218.0,0,123,797
219.0,0,123,797
220.0,0,123,797
221.0,0,123,797
222.0,0,123,797
223.0,0,123,797
224.0,0,123,797
225.0,0,123,797
226.0,0,123,797
227.0,0,123,797
228.0,0,123,797
229.0,0,123,797
230.0,0,123,797
231.0,0,123,797
232.0,0,123,797
233.0,0,123,797
234.0,0,123,797
235.0,0,123,797
236.0,0,123,797
237.0,0,123,797
238.0,0,123,797
239.0,0,123,797
240.0,0,123,797
241.0,0,123,797
242.0,0,123,797
243.0,0,123,797
244.0,0,123,797
245.0,0,123,797
246.0,0,123,797
247.0,0,123,797
248.0,0,123,797
249.0,0,123,797
250.0,0,123,797
251.0,0,123,797
252.0,0,123,797
253.0,0,123,797
254.0,0,123,797
255.0,0,123,797
256.0,0,123,797
257.0,0,123,797
258.0,0,123,797
259.0,0,123,797
260.0,0,123,797
261.0,0,123,797
262.0,0,123,797
263.0,0,123,797
264.0,0,123,797
265.0,0,123,797
266.0,0,123,797
267.0,0,123,797
268.0,0,123,797
269.0,0,123,797
270.0,0,123,797
271.0,0,123,797
272.0,0,123,797
273.0,0,123,797
274.0,0,123,797
275.0,0,123,797
276.0,0,123,797
277.0,0,123,797
278.0,0,123,797
279.0,0,123,797
280.0,0,123,797
281.0,0,123,797
282.0,0,123,797
283.0,0,123,797
284.0,0,123,797
285.0,0,123,797
286.0,0,123,797
287.0,0,123,797
288.0,0,123,797
289.0,0,123,797
290.0,0,123,797
291.0,0,123,797
292.0,0,123,797
293.0,0,123,797
294.0,0,123,797
295.0,0,123,797
296.0,0,123,797
297.0,0,123,797
298.0,0,123,797
299.0,0,123,797
300.0,0,123,797
301.0,0,123,797
302.0,0,123,797
303.0,0,123,797
304.0,0,123,797
305.0,0,123,797
306.0,0,123,797
307.0,0,123,797
308.0,0,123,797
309.0,0,123,797
310.0,0,123,797
311.0,0,123,797
312.0,0,123,797
313.0,0,123,797
314.0,0,123,797
315.0,0,123,797
316.0,0,123,797
317.0,0,123,797
318.0,0,123,797
319.0,0,123,797
320.0,0,123,797
321.0,0,123,797
322.0,0,123,797
323.0,0,123,797
324.0,0,123,797
325.0,0,123,797
326.0,0,123,797
327.0,0,123,797
328.0,0,123,797
329.0,0,123,797
330.0,0,123,797
331.0,0,123,797
332.0,0,123,797
333.0,0,123,797
334.0,0,123,797
335.0,0,123,797
336.0,0,123,797
337.0,0,123,797
338.0,0,123,797
339.0,0,123,797
340.0,0,123,797
341.0,0,123,797
342.0,0,123,797
343.0,0,123,797
344.0,0,123,797
345.0,0,123,797
346.0,0,123,797
347.0,0,123,797
348.0,0,123,797
349.0,0,123,797
350.0,0,123,797
351.0,0,123,797
352.0,0,123,797
353.0,0,123,797
354.0,0,123,797
355.0,0,123,797
356.0,0,123,797
357.0,0,123,797
358.0,0,123,797
359.0,0,123,797
360.0,0,123,797
361.0,0,123,797
362.0,0,123,797
363.0,0,123,797
364.0,0,123,797
365.0,0,123,797
366.0,0,123,797
367.0,0,123,797
368.0,0,123,797
369.0,0,123,797
370.0,0,123,797
371.0,0,123,797
372.0,0,123,797
373.0,0,123,797
374.0,0,123,797
375.0,0,123,797
376.0,0,123,797
377.0,0,123,797
378.0,0,123,797
379.0,0,123,797
380.0,0,123,797
381.0,0,123,797
382.0,0,123,797
383.0,0,123,797
384.0,0,123,797
385.0,0,123,797
386.0,0,123,797
387.0,0,123,797
388.0,0,123,797
389.0,0,123,797
390.0,0,123,797
391.0,0,123,797
392.0,0,123,797
393.0,0,123,797
394.0,0,123,797
395.0,0,123,797
396.0,0,123,797
397.0,0,123,797
398.0,0,123,797
399.0,0,123,797
400.0,0,123,797
401.0,0,123,797
402.0,0,123,797
403.0,0,123,797
404.0,0,123,797
405.0,0,123,797
406.0,0,123,797
407.0,0,123,797
408.0,0,123,797
409.0,0,123,797
410.0,0,123,797
411.0,0,123,797
412.0,0,123,797
413.0,0,123,797
414.0,0,123,797
415.0,0,123,797
416.0,0,123,797
417.0,0,123,797
418.0,0,123,797
419.0,0,123,797
420.0,0,123,797
421.0,0,123,797
422.0,0,123,797
423.0,0,123,797
424.0,0,123,797
425.0,0,123,797
426.0,0,123,797
427.0,0,123,797
428.0,0,123,797
429.0,0,123,797
430.0,0,123,797
431.0,0,123,797
432.0,0,123,797
433.0,0,123,797
434.0,0,123,797
435.0,0,123,797
436.0,0,123,797
437.0,0,123,797
438.0,0,123,797
439.0,0,123,797
440.0,0,123,797
441.0,0,123,797
442.0,0,123,797
443.0,0,123,797
444.0,0,123,797
445.0,0,123,797
446.0,0,123,797
447.0,0,123,797
448.0,0,123,797
449.0,0,123,797
450.0,0,123,797
451.0,0,123,797
452.0,0,123,797
453.0,0,123,797
454.0,0,123,797
455.0,0,123,797
456.0,0,123,797
457.0,0,123,797
458.0,0,123,797
459.0,0,123,797
460.0,0,123,797
461.0,0,123,797
462.0,0,123,797
463.0,0,123,797
464.0,0,123,797
465.0,0,123,797
466.0,0,123,797
467.0,0,123,797
468.0,0,123,797
469.0,0,123,797
470.0,0,123,797
471.0,0,123,797
472.0,0,123,797
473.0,0,123,797
474.0,0,123,797
475.0,0,123,797
476.0,0,123,797
477.0,0,123,797
478.0,0,123,797
479.0,0,123,797
480.0,0,123,797
481.0,0,123,797
482.0,0,123,797
483.0,0,123,797
484.0,0,123,797
485.0,0,123,797
486.0,0,123,797
487.0,0,123,797
488.0,0,123,797
489.0,0,123,797
490.0,0,123,797
491.0,0,123,797
492.0,0,123,797
493.0,0,123,797
494.0,0,123,797
495.0,0,123,797
496.0,0,123,797
497.0,0,123,797
498.0,0,123,797
499.0,0,123,797
500.0,0,123,797
501.0,0,123,797
502.0,0,123,797
503.0,0,123,797
504.0,0,123,797
505.0,0,123,797
506.0,0,123,797
507.0,0,123,797
508.0,0,123,797
509.0,0,123,797
510.0,0,123,797
511.0,0,123,797
512.0,0,123,797
513.0,0,123,797
514.0,0,123,797
515.0,0,123,797
516.0,0,123,797
517.0,0,123,797
518.0,0,123,797
519.0,0,123,797
520.0,0,123,797
521.0,0,123,797
522.0,0,123,797
523.0,0,123,797
524.0,0,123,797
525.0,0,123,797
526.0,0,123,797
527.0,0,123,797
528.0,0,123,797
529.0,0,123,797
530.0,0,123,797
531.0,0,123,797
532.0,0,123,797
533.0,0,123,797
534.0,0,123,797
535.0,0,123,797
536.0,0,123,797
537.0,0,123,797
538.0,0,123,797
539.0,0,123,797
540.0,0,123,797
541.0,0,123,797
542.0,0,123,797
543.0,0,123,797
544.0,0,123,797
545.0,0,123,797
546.0,0,123,797
547.0,0,123,797
548.0,0,123,797
549.0,0,123,797
550.0,0,123,797
551.0,0,123,797
552.0,0,123,797
553.0,0,123,797
554.0,0,123,797
555.0,0,123,797
556.0,0,123,797
557.0,0,123,797
558.0,0,123,797
559.0,0,123,797
560.0,0,123,797
561.0,0,123,797
562.0,0,123,797
563.0,0,123,797
564.0,0,123,797
565.0,0,123,797
566.0,0,123,797
567.0,0,123,797
568.0,0,123,797
569.0,0,123,797
570.0,0,123,797
571.0,0,123,797
572.0,0,123,797
573.0,0,123,797
574.0,0,123,797
575.0,0,123,797
576.0,0,123,797
577.0,0,123,797
578.0,0,123,797
579.0,0,123,797
580.0,0,123,797
581.0,0,123,797
582.0,0,123,797
583.0,0,123,797
584.0,0,123,797
585.0,0,123,797
586.0,0,123,797
587.0,0,123,797
588.0,0,123,797
589.0,0,123,797
590.0,0,123,797
591.0,0,123,797
592.0,0,123,797
593.0,0,123,797
594.0,0,123,797
595.0,0,123,797
596.0,0,123,797
597.0,0,123,797
598.0,0,123,797
599.0,0,123,797
